PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec,source_file
21,29,33,20.95,64.86,83,NButovo_magistral.CSV
21,29,33,20.97,64.88,86,NButovo_magistral.CSV
21,29,33,20.94,64.85,89,NButovo_magistral.CSV
21,29,33,20.94,64.83,92,NButovo_magistral.CSV
21,28,32,20.96,64.85,95,NButovo_magistral.CSV
21,28,32,20.96,64.89,98,NButovo_magistral.CSV
21,28,32,20.98,64.9,101,NButovo_magistral.CSV
21,28,33,20.98,64.94,104,NButovo_magistral.CSV
21,28,33,20.95,65.03,107,NButovo_magistral.CSV
21,29,33,20.97,65.12,110,NButovo_magistral.CSV
21,29,34,20.99,65.07,113,NButovo_magistral.CSV
22,30,35,21.0,65.13,116,NButovo_magistral.CSV
22,30,35,20.99,64.81,119,NButovo_magistral.CSV
22,30,35,20.99,64.78,122,NButovo_magistral.CSV
21,29,34,20.98,64.74,125,NButovo_magistral.CSV
21,28,34,20.97,64.69,128,NButovo_magistral.CSV
21,28,33,20.99,64.66,131,NButovo_magistral.CSV
21,28,33,21.03,64.82,134,NButovo_magistral.CSV
21,28,33,21.03,65.07,137,NButovo_magistral.CSV
11,15,15,29.63,35.56,24,Lomonosovskiy_magistral.CSV
11,15,15,29.52,35.06,27,Lomonosovskiy_magistral.CSV
11,14,15,29.51,34.6,30,Lomonosovskiy_magistral.CSV
11,14,15,29.48,34.59,33,Lomonosovskiy_magistral.CSV
11,14,15,29.51,34.59,36,Lomonosovskiy_magistral.CSV
11,14,14,29.63,35.64,39,Lomonosovskiy_magistral.CSV
11,14,14,29.73,36.4,42,Lomonosovskiy_magistral.CSV
11,14,14,29.71,36.14,45,Lomonosovskiy_magistral.CSV
11,14,14,29.78,36.17,48,Lomonosovskiy_magistral.CSV
11,14,15,29.86,35.88,51,Lomonosovskiy_magistral.CSV
11,14,15,29.95,36.27,54,Lomonosovskiy_magistral.CSV
14,17,19,28.51,43.11,21,Cheremushki_magistral.CSV
14,17,19,28.55,42.31,24,Cheremushki_magistral.CSV
14,17,19,28.61,41.94,27,Cheremushki_magistral.CSV
13,16,17,28.72,40.93,6,Cheremushki_magistral.CSV
13,16,17,28.75,40.96,9,Cheremushki_magistral.CSV
13,16,17,28.75,40.72,12,Cheremushki_magistral.CSV
13,16,17,28.73,40.33,15,Cheremushki_magistral.CSV
13,16,17,28.76,40.4,18,Cheremushki_magistral.CSV
13,16,17,28.8,40.85,21,Cheremushki_magistral.CSV
11,15,15,31.18,35.34,21,Gagarinskiy_magistral.CSV
11,14,15,31.27,34.34,24,Gagarinskiy_magistral.CSV
10,13,14,31.45,35.38,27,Gagarinskiy_magistral.CSV
12,15,16,32.58,42.62,6,Gagarinskiy_magistral.CSV
11,15,16,32.65,38.32,9,Gagarinskiy_magistral.CSV
11,14,15,32.69,36.18,12,Gagarinskiy_magistral.CSV
11,14,15,32.75,38.69,15,Gagarinskiy_magistral.CSV
11,14,15,32.75,36.23,18,Gagarinskiy_magistral.CSV
11,14,15,32.82,36.44,21,Gagarinskiy_magistral.CSV
11,14,14,32.86,34.88,24,Gagarinskiy_magistral.CSV
11,14,14,32.84,36.61,27,Gagarinskiy_magistral.CSV
12,15,16,32.17,52.77,6,Gagarinskiy_magistral.CSV
12,14,15,32.24,57.55,9,Gagarinskiy_magistral.CSV
12,14,14,32.24,54.75,12,Gagarinskiy_magistral.CSV
11,14,14,32.27,52.15,15,Gagarinskiy_magistral.CSV
11,13,14,32.31,52.55,18,Gagarinskiy_magistral.CSV
11,13,14,32.31,49.27,21,Gagarinskiy_magistral.CSV
11,13,14,32.33,46.89,24,Gagarinskiy_magistral.CSV
11,13,13,32.27,42.97,27,Gagarinskiy_magistral.CSV
13,17,19,31.82,47.0,6,Gagarinskiy_magistral.CSV
13,16,19,31.88,50.55,9,Gagarinskiy_magistral.CSV
12,15,17,31.86,47.92,12,Gagarinskiy_magistral.CSV
12,15,16,31.82,47.07,15,Gagarinskiy_magistral.CSV
12,14,16,31.8,53.84,18,Gagarinskiy_magistral.CSV
12,14,16,31.85,54.62,21,Gagarinskiy_magistral.CSV
11,14,15,31.89,53.24,24,Gagarinskiy_magistral.CSV
11,14,15,31.93,50.76,27,Gagarinskiy_magistral.CSV
12,15,16,36.85,29.97,6,Gagarinskiy_magistral.CSV
12,15,16,36.9,30.25,9,Gagarinskiy_magistral.CSV
12,15,15,36.81,27.95,12,Gagarinskiy_magistral.CSV
12,14,15,36.5,26.51,15,Gagarinskiy_magistral.CSV
12,14,15,36.14,26.58,18,Gagarinskiy_magistral.CSV
12,14,15,35.77,26.65,21,Gagarinskiy_magistral.CSV
11,14,15,35.38,27.03,24,Gagarinskiy_magistral.CSV
11,14,15,35.33,27.4,27,Gagarinskiy_magistral.CSV
